,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
TRMT10B,6.555091,6.579167,6.425724,6.422594,6.517464,6.31567,6.480208
DCAF10,8.301325,8.482623,8.379653,8.291532,8.396848,8.218227,8.168577
ALDH1B1,11.21988,11.34333,11.03104,11.34917,11.01225,11.4052,11.51597
RNU6-765P,4.669906,4.761632,4.903101,4.737104,4.551644,4.901098,4.747434
LOC102724314,5.256936,5.491374,5.201638,5.221292,5.432313,5.260899,5.551471
PTGER4P2-CDK2AP2P2,7.137309,7.106911,6.914483,7.261534,7.202608,7.322691,7.123519
LOC102725070,6.787543,6.672697,5.92142,6.293732,7.03764,5.883165,6.333327
PIP5K1B,6.975142,7.079732,6.541557,6.532977,6.829432,6.821697,7.31363
FAM122A,9.060341,9.006284,8.702338,8.848884,9.027153,8.93162,8.887835
FXN,8.432024,8.330314,8.68357,8.42528,8.476998,8.67377,8.795124
TJP2,9.532077,9.462056,9.918712,9.368549,9.363983,9.543503,9.665684
FAM189A2,6.478991,6.349674,6.069593,6.373379,6.524726,6.577473,6.941039
C9orf135,4.506117,4.723362,4.871313,4.640954,4.642211,4.904371,4.62394
MAMDC2,5.971662,6.524832,6.813396,6.805429,6.245836,6.846125,6.393714
SMC5,8.469131,8.511451,8.808764,8.60414,8.679961,8.185056,8.010314
C9orf85,6.411581,6.131488,6.309258,6.253785,6.136195,6.030856,6.060581
GDA,10.43462,10.2609,10.12771,10.82542,9.636326,10.03669,9.053413
TMC1,4.807351,6.373866,4.727198,5.826894,4.846472,4.897811,5.378935
ANXA1,11.44987,11.74656,12.1479,11.91247,11.39721,11.64027,11.65553
RORB,6.799872,7.170511,6.605106,5.922271,6.228462,6.221377,6.327579
RN7SKP47,5.445886,5.344722,5.303225,5.400426,5.290841,5.402456,5.338682
RNU6-445P,2.697574,2.673165,2.974397,2.734619,2.627035,2.955933,2.779162
OSTF1,8.518985,8.662292,8.69946,8.831185,8.526016,8.729526,8.061972
PCSK5,8.423467,8.21212,7.930719,8.195721,8.04812,8.508779,7.784797
GCNT1,6.395426,6.453639,6.727704,6.242072,5.784768,6.254541,6.476173
FOXB2,8.014679,8.076474,7.95592,8.095644,8.02258,7.697555,8.159771
ATP5J2P3,4.416405,4.852676,4.963166,5.176135,4.720988,5.091119,4.16363
VPS13A,8.886989,8.950519,8.754958,8.956363,9.079765,8.396081,7.942043
LOC642947,6.303885,6.069964,5.948145,6.551932,6.801115,5.796077,5.990239
RN7SKP59,4.869397,5.161936,4.836263,4.986968,5.168289,5.394545,4.960476
CEP78,7.324425,7.150243,7.872817,7.363942,7.230832,7.165774,7.435966
PSAT1,9.874897,9.970407,9.70708,10.00694,10.07219,9.839141,9.207493
CHCHD2P9,5.249165,5.256896,5.398526,5.003635,5.09937,4.855857,5.044435
TLE4,8.060701,8.098722,8.184277,7.903977,8.033324,8.242516,8.208249
SPATA31D5P,4.341224,4.55267,4.136273,4.192756,4.117678,4.268355,4.104286
SPATA31D4,4.185392,4.341853,4.270151,4.295065,4.237536,4.316251,4.390856
SPATA31D1,5.037037,4.969857,4.940354,5.157272,5.134646,5.121195,5.001554
RNU4-29P,6.494936,6.006275,6.111988,6.35418,6.275294,6.09209,5.530485
IDNK,9.254135,9.384078,8.362954,9.157118,9.351735,9.759257,9.43749
RMI1,6.25231,6.016769,6.545786,6.23269,5.997897,6.087145,6.264532
NTRK2,6.780951,7.175921,6.210284,7.223717,7.349824,7.392535,7.612998
NAA35,8.80427,8.898105,8.90249,8.729988,8.955759,8.520203,8.821264
LOC100130433,4.39645,4.643248,4.467483,4.376248,4.520215,4.09427,4.164492
CDC20P1,5.663584,5.812853,6.415909,5.919165,5.96281,5.989858,5.95725
C9orf170,6.10422,6.158386,6.108734,6.106462,6.093082,6.084134,6.226256
DAPK1,9.230596,9.166015,9.389357,9.047717,9.321505,9.453942,9.542909
CTSL,10.67794,10.70257,10.05061,10.58464,10.48481,10.53946,9.984899
CTSL3P,8.013373,7.414563,6.443905,7.788405,7.611148,7.338526,7.566376
SPATA31E1,5.703563,5.915849,5.746321,6.017966,5.836644,5.269168,5.655197
SPIN1,10.68444,10.76104,10.78411,10.67934,10.80122,10.82313,11.09385
NXNL2,8.076875,7.921722,7.900637,8.43904,7.704575,8.551735,8.797647
C9orf47,7.492085,7.283524,7.463317,7.23419,7.487081,7.173622,7.891761
CKS2,8.406464,8.317386,9.324292,8.651924,7.993976,8.507248,8.061373
SECISBP2,9.987441,9.859434,9.943879,9.891564,9.832774,9.676359,9.526579
GADD45G,6.915531,6.963931,6.8055,6.54007,6.525363,6.849248,8.06462
SYK,7.472786,7.178981,7.556406,7.804259,7.608279,7.701291,7.694585
CENPP,5.806677,5.929481,5.782836,6.398687,6.235095,5.831131,6.471845
ANKRD19P,4.526271,4.470283,4.345911,4.462869,4.565684,4.782924,4.476863
RNU6-714P,6.755232,6.317363,6.351616,6.478613,6.72856,6.271826,6.221149
FGD3,7.321513,7.239522,7.207574,7.457063,7.24531,7.381721,7.295209
SUSD3,6.943607,7.01823,6.634279,6.870768,6.624737,6.965162,6.994147
C9orf89,7.840478,7.980456,8.094166,7.598268,7.75458,8.372373,8.278985
WNK2,6.053545,6.100237,5.857249,5.927771,6.025899,5.940247,6.51005
FAM120A,9.226583,9.122531,9.199333,9.101858,9.069301,8.897998,8.697669
PHF2,7.648625,7.887053,7.831915,7.876937,7.965029,8.343615,8.218424
PTPDC1,7.10199,7.238717,7.252188,7.057639,7.168915,7.252028,7.013329
MIRLET7A1,5.390707,5.580341,5.450911,5.445074,5.528687,5.671129,5.477989
MIRLET7F1,4.73938,4.432813,4.213836,4.468215,4.99961,4.844075,4.660293
MIRLET7D,6.633413,6.340817,5.976254,6.617538,7.058135,6.420986,6.193592
ZNF169,5.833409,6.111535,6.014183,6.030122,6.327721,5.868443,5.683997
HIATL1,9.134321,9.297847,9.856998,9.318983,9.364412,9.14382,9.092183
RNU6-669P,3.545156,3.532437,3.717051,3.79581,3.83529,3.887649,3.878276
C9orf3,6.954205,6.898482,6.85205,6.797685,7.169228,6.933608,7.064104
MIR23B,8.156327,8.275619,7.606288,7.90034,8.410558,8.121401,8.234604
MIR27B,7.377462,7.596461,7.421601,6.959756,7.233746,7.923006,8.050752
MIR24-1,4.530451,4.291993,4.426532,4.566366,4.401448,4.976612,4.82701
LOC100506667,6.34261,6.359754,6.209086,6.428442,6.2236,6.009645,6.193863
RNU2-46P,3.255068,3.1045,3.211632,3.190061,3.161656,3.120519,3.075183
RNA5SP289,6.675105,6.555301,6.408346,6.721318,6.932336,7.068531,6.624917
HABP4,8.304031,8.435594,8.326472,8.309305,8.11999,8.730338,8.32928
NUTM2G,6.328234,6.589217,6.266537,6.499075,6.311974,6.214367,6.369461
CCDC180,6.773082,6.718705,6.89249,6.738616,6.901389,6.880843,6.926246
TDRD7,6.946809,7.023441,7.331684,7.084652,6.996037,6.991687,6.849722
TMOD1,7.456997,7.977337,7.25987,7.808902,8.092296,7.773422,11.94614
NCBP1,8.924739,8.628112,9.320513,8.825757,8.82298,8.844441,8.738589
FOXE1,6.252644,6.25531,6.286682,6.102809,6.004205,6.046473,6.279206
ANP32B,8.803607,9.005461,9.421063,8.8672,8.778077,8.798271,9.132052
RNU6-918P,4.183619,4.229015,4.135648,4.254668,4.195148,4.873674,4.702509
NANS,7.015934,7.051489,7.538643,7.070937,7.221431,7.565938,7.158311
GALNT12,7.202305,7.678316,7.989684,7.679411,7.31657,7.747543,7.740856
COL15A1,7.673099,7.900239,8.500094,7.875052,7.753978,7.6182,7.93747
TGFBR1,9.081096,9.135566,9.331256,9.295164,8.977219,9.147339,8.643746
SEC61B,10.43677,10.44494,10.53304,10.70718,10.47228,10.59932,10.58352
RN7SKP225,3.858786,3.86368,3.766441,3.75819,3.872749,3.899023,3.900888
KRT8P11,7.608556,7.468388,7.62999,7.489652,7.37133,7.206971,7.246758
NR4A3,5.934623,5.853169,5.830783,5.925777,6.004466,6.027968,5.926075
STX17,8.738831,8.588729,8.656805,8.804768,8.840273,8.728041,8.955497
INVS,8.716072,8.644922,8.079111,8.619865,8.746771,8.546512,8.256506
RN7SL75P,6.212547,5.83092,5.918061,6.069476,6.140562,6.545144,6.119724
MSANTD3,8.043524,8.193614,9.149709,8.28862,7.97683,8.363989,8.839448
MSANTD3-TMEFF1,5.764809,6.049325,6.091148,6.0293,6.074357,5.91752,7.642299
MURC,5.041213,5.632317,5.082836,5.18246,5.731651,4.88783,5.496527
LPPR1,9.841009,9.462261,8.536658,9.4514,8.996199,10.26948,9.173566
ZNF189,7.907675,7.73259,7.838126,7.619936,7.807159,7.701905,7.782731
RNF20,8.071473,7.916934,7.923577,7.838001,7.83378,8.10162,8.180538
RNU6-329P,3.574747,3.542819,3.622844,3.509974,3.374644,3.499146,3.395947
CYLC2,3.996446,4.136937,3.731926,3.99077,3.778984,4.215417,3.902914
SMC2,7.297166,7.481773,7.966366,7.226274,7.366431,7.201325,6.783941
OR13F1,5.391895,5.668419,5.190952,5.369795,5.384562,5.351558,5.287347
OR13C8,4.2287,4.100554,4.400588,4.179266,4.124383,4.145347,4.323643
OR13D1,3.510201,3.472856,3.592047,3.229271,3.380858,3.849031,3.753726
OR13D3P,4.260125,4.242663,4.154939,4.40522,4.359415,4.388593,4.261492
NIPSNAP3A,7.93977,8.35691,8.368917,8.304026,7.983837,8.075417,7.911382
NIPSNAP3B,5.763231,6.000864,5.588291,5.960553,6.127993,5.833974,6.034543
RN7SKP191,5.978609,5.623103,5.744317,5.76576,5.621574,5.496947,5.589611
SLC44A1,9.087781,9.053732,9.235789,9.020954,9.03312,9.011927,8.987462
FSD1L,5.313678,5.400281,5.663982,5.397909,5.650177,5.558922,5.143704
FKTN,7.500064,7.124639,7.751627,7.330019,7.544157,7.05102,6.770162
TAL2,6.01175,6.007366,5.823755,6.351117,6.394593,5.946271,6.521723
TMEM38B,8.479314,9.032788,7.911917,8.858875,8.821183,7.767811,8.672098
RN7SKP77,4.646098,4.849904,4.568767,4.485565,4.283728,4.136736,4.508032
ZNF462,9.07724,9.044143,9.381668,8.882359,8.880119,9.11504,9.461853
RAD23B,9.114303,9.181935,9.347727,9.183542,9.172326,9.218786,9.149423
ACTL7A,4.883619,4.64718,4.607605,4.730375,4.664003,4.839859,4.815469
FAM206A,8.913487,8.551402,8.817913,8.669412,8.851905,8.499645,8.670314
AKAP2,7.788336,7.506616,7.88817,7.574757,7.742443,7.598054,7.975473
MUSK,4.730715,4.640078,4.361798,4.610708,4.637611,4.761023,4.657956
RNU6-432P,3.339025,3.413333,3.528505,3.724517,3.38101,3.855796,3.517248
ZNF483,6.848363,6.543471,6.059454,6.473626,7.279762,6.937268,7.088643
DNAJC25-GNG10,8.579118,8.63794,8.448453,8.563876,8.703447,8.616768,8.687992
RNU6-1013P,5.566094,5.386122,5.229538,5.63566,5.697403,5.426403,4.482682
UGCG,8.83104,9.019552,9.914941,8.998518,8.373802,8.757903,8.272599
RNU6-855P,3.822302,3.64916,3.434971,3.602858,3.7967,3.680904,3.446202
RNA5SP295,5.550088,5.233096,4.857243,5.362707,5.443594,4.274944,4.646094
HSDL2,9.760431,9.860637,9.425998,9.765582,9.738612,9.360919,9.057985
KIAA1958,8.416963,8.386123,8.342874,8.37931,8.434379,8.543962,8.125952
SNX30,9.549478,9.684837,9.587975,9.341543,9.277412,9.643849,9.099673
SLC31A2,9.305549,9.316555,9.356491,8.932441,8.348338,8.955502,8.961815
SLC31A1,11.18401,11.21317,10.81181,11.21639,11.18505,10.80612,10.72349
PRPF4,8.857452,8.793572,8.87564,8.568612,8.496866,9.177172,8.622675
BSPRY,7.5234,7.351968,7.388028,7.27567,7.544448,7.811255,7.513373
C9orf43,6.017979,5.658702,5.458506,5.595234,5.869676,5.893704,5.825503
RGS3,7.587467,7.285354,7.322154,7.346601,7.177719,7.355203,7.500712
COL27A1,7.911526,7.700466,8.030583,7.724859,7.763179,7.938881,7.838233
MIR455,4.613691,4.630586,4.502429,4.652465,4.566387,4.272912,4.270934
ORM1,4.001758,4.321631,4.348218,4.419367,4.102593,4.229446,4.435123
ORM2,5.615555,5.799299,6.003782,5.657608,5.995585,5.951233,5.296539
ATP6V1G1,10.1776,10.20133,10.21424,10.08372,10.03161,10.17949,9.984157
C9orf91,7.183655,7.313147,7.461098,7.485081,6.900438,7.474154,7.886237
DEC1,4.5998,4.684763,4.565581,4.702453,4.412814,4.272543,4.295707
PAPPA,8.165099,8.466881,9.485399,8.670369,8.410912,8.61478,7.900201
TRIM32,8.232008,7.985442,8.438535,8.249174,8.22509,8.142723,8.689459
RN7SKP128,3.344879,3.566259,3.392787,3.354323,3.42874,3.358138,3.636566
RN7SKP125,4.848621,5.159865,5.021993,4.958907,4.653051,4.797164,4.882674
TLR4,8.426281,8.355662,8.589434,8.669315,8.273309,8.617861,8.118459
CNTRL,6.522438,6.227759,6.538727,6.702503,6.404585,6.301001,6.358307
RN7SL181P,3.858748,4.050161,3.723854,3.765193,3.872267,4.010507,3.692111
GSN,9.387028,9.687328,9.536918,9.316343,9.701298,9.615893,10.15769
RN7SL187P,3.349335,3.581177,3.471762,3.631559,3.473992,3.610576,3.409231
DAB2IP,7.726835,7.960347,7.928623,7.960509,7.762607,8.23815,8.072627
MORN5,4.612339,4.548753,4.673798,4.633709,4.672162,5.034557,5.163189
MRRF,8.456657,8.582687,8.9395,8.503184,8.71441,8.83902,8.86699
PTGS1,6.242796,6.44236,6.378082,6.633863,6.534917,6.830963,6.695012
OR1J2,3.303679,3.378875,3.19308,3.092915,3.284089,3.4727,3.186318
OR1J4,3.924376,4.076573,3.728795,3.908161,3.962373,3.711426,3.740944
OR1N2,4.525908,4.45278,4.232015,4.537943,4.600355,4.646951,4.73948
OR1H1P,3.803103,4.183507,4.015975,3.95581,4.119808,4.270189,4.115924
OR1Q1,3.69291,4.306657,3.890984,4.087444,4.124279,4.191532,4.03461
OR1L1,3.884322,3.644726,3.568559,3.578615,3.755925,3.660593,3.458477
OR1L3,4.522098,4.414705,4.305061,4.3006,4.472301,4.566474,4.569798
OR1L4,4.35447,4.294231,4.041101,4.232879,4.068197,4.475534,4.162638
OR1L6,3.18361,3.038645,3.118964,3.307522,3.274291,3.286542,3.312867
OR5C1,6.664663,6.51554,6.418312,6.446519,6.388363,6.093501,6.205394
OR1K1,5.539962,5.600419,5.533166,5.524913,5.514702,4.902024,5.051722
RABGAP1,9.237144,9.152795,9.068843,9.28437,9.430011,9.166359,9.643793
GPR21,6.471982,6.558407,6.218102,6.789751,6.826767,6.832711,7.86796
CRB2,7.034317,7.059157,6.948986,6.79854,6.880827,7.08075,6.882786
LHX2,5.937346,5.656306,6.078596,5.833768,5.810945,5.773094,5.715087
NEK6,9.222631,8.985698,9.099323,9.072977,8.850623,9.159036,8.898042
GPR144,6.933696,7.168744,6.777446,7.012454,6.637849,6.704932,6.786613
RN7SL302P,6.37421,6.217706,6.108662,6.403612,6.125576,5.99738,6.26903
MIR181A2,4.906665,4.946053,4.659715,4.987242,5.316967,5.104016,5.143986
MIR181B2,4.785493,4.953442,4.723981,4.573806,5.18629,4.732868,4.653411
OLFML2A,7.403809,7.623378,7.390153,7.571569,7.289916,7.353428,8.222487
WDR38,6.704961,6.691486,6.505232,6.538075,6.528359,6.309051,6.578437
ARPC5L,6.533239,6.405746,6.680697,6.49617,6.634325,6.73665,6.759168
RABEPK,7.083782,7.006716,7.168506,7.084897,6.965223,7.239587,7.204442
GAPVD1,8.204522,8.159011,8.204043,8.246396,8.207414,8.258969,7.856604
PBX3,8.176648,8.141883,8.417559,8.063945,8.042663,8.275407,8.926448
MVB12B,7.011414,7.303758,7.177939,7.149711,7.266451,7.247297,7.515687
LMX1B,6.664831,6.918247,6.769516,6.614441,6.600218,6.564354,6.728518
ZBTB43,6.814669,6.928242,6.91721,7.042527,7.092567,6.928242,7.137056
RALGPS1,7.326111,7.462064,7.174127,7.210935,7.668799,7.484245,7.437989
GARNL3,7.339398,7.373319,6.984572,7.281032,7.518809,7.5242,7.697232
SLC2A8,8.107683,8.201538,7.915313,8.072756,7.99574,8.221426,8.207433
ZNF79,6.959631,6.984382,7.208523,6.926866,6.929635,7.465587,7.251466
LRSAM1,6.368159,6.481292,6.633292,6.385598,6.347765,6.629652,6.518724
STXBP1,9.621454,9.276872,9.350507,9.519322,9.24921,9.527474,9.964146
C9orf117,5.660747,5.736583,5.657419,5.93292,5.720466,5.232034,5.783548
TTC16,6.119532,6.079785,6.123448,6.274875,6.258318,5.953648,6.22169
CDK9,9.370082,9.694204,9.766897,9.605721,9.658265,10.02729,9.982143
FPGS,7.318982,7.631077,7.731011,7.566749,7.525447,7.825132,7.866442
LOC102723566,6.952775,7.107142,6.995028,7.0585,6.950982,6.820565,6.776277
SLC25A25,6.833079,6.95983,6.414155,6.863308,6.60029,6.847985,6.856433
PTGES2-AS1,3.968961,4.116247,4.067546,4.067472,4.076312,4.140823,4.131297
LCN2,6.717594,7.434793,7.33736,6.77732,6.784878,6.578676,6.469257
C9orf16,7.706951,7.811193,7.864981,7.595201,7.443446,7.797507,7.874401
DNM1,8.407578,8.302593,8.448055,8.08109,7.429836,8.224922,7.902948
SWI5,6.185191,6.163914,6.059287,6.338217,6.259233,6.570942,6.472884
COQ4,8.061268,8.269691,8.368679,8.234439,8.156838,8.749818,8.576742
SLC27A4,8.552395,8.566468,8.81327,8.662682,8.452986,8.977293,8.702417
URM1,7.729565,7.720079,7.660024,7.753173,7.546997,8.054702,8.021555
CERCAM,6.609896,6.739244,7.230003,6.662833,6.874197,7.118324,7.319818
ODF2,7.962091,7.963938,8.242116,8.016096,8.047669,8.239335,8.064052
GLE1,8.110584,8.065255,8.050926,8.134097,7.948006,8.175698,8.106776
SPTAN1,9.677595,9.461928,9.864301,9.558215,9.589388,9.794863,9.922175
PKN3,6.271818,6.337287,6.605487,6.281824,6.050359,6.195782,6.714792
TBC1D13,9.752569,9.859918,8.855197,9.770275,9.853053,10.04794,9.9062
ENDOG,7.518683,7.489853,7.572842,7.476279,7.599761,7.635025,7.648601
LRRC8A,8.499527,8.650068,8.754026,8.725485,8.52196,8.800242,8.903471
PHYHD1,9.739881,9.759765,9.91674,10.16372,10.23779,10.27268,10.61725
NUP188,7.793764,7.776539,8.069199,7.884964,7.780113,8.157698,8.117079
FAM73B,6.860196,6.780752,6.719963,6.645805,6.648821,6.987618,7.026771
DOLPP1,7.58214,7.484787,7.422529,7.64782,7.610838,8.12444,8.001604
PPP2R4,8.925784,8.8386,9.103998,8.705161,8.847663,9.241384,9.274318
C9orf106,6.05424,6.393505,6.109355,5.959792,6.214622,6.048883,6.457453
LOC100506119,5.434452,5.890286,5.690718,5.903954,5.728395,5.54541,5.994649
NTMT1,7.322028,7.524729,7.303774,7.020228,7.329044,7.269893,7.224444
PRRX2,7.422989,7.477504,7.643691,7.646755,7.413226,7.141793,7.552776
TOR1B,7.514472,7.617187,8.003375,7.541638,7.303739,7.758425,7.84217
USP20,7.375655,7.265266,7.031404,7.197501,7.189427,7.616406,7.543305
GPR107,8.813815,8.705981,8.859872,8.609629,8.979031,8.847704,8.744833
LOC100129785,6.246959,6.541649,6.129561,6.557219,6.25694,6.302298,6.416388
NCS1,7.976423,8.549119,8.752738,8.3504,8.591581,9.011503,9.524453
RN7SL665P,3.293213,3.528407,3.453363,3.407013,3.482577,3.410013,3.340685
ASS1,12.59107,12.84702,12.13893,12.64399,12.59585,13.02981,12.63552
FUBP3,8.507812,8.516616,8.547581,8.575988,8.525179,8.788084,8.749131
PRDM12,6.811238,6.761572,6.7306,6.56037,6.714921,6.560863,6.914055
EXOSC2,8.422826,8.414123,8.739959,8.647871,8.412569,9.242784,9.327712
ABL1,8.642551,8.855753,9.112609,8.636257,8.860748,8.948253,9.246938
LAMC3,7.619806,7.627896,7.819299,7.956449,8.082427,8.052138,7.979854
AIF1L,9.442659,9.380614,9.822326,9.364599,9.61149,9.683616,9.700214
NUP214,9.402771,9.406594,9.665121,9.370067,9.598862,9.530864,9.481535
RNU6-881P,3.466029,3.580084,3.931915,3.524532,3.605705,3.599856,3.845975
PPAPDC3,7.258141,7.320319,7.135206,7.349308,7.326085,7.293109,7.63111
POMT1,8.35043,8.485053,8.371985,8.381742,8.228296,8.739849,8.697408
NTNG2,6.136308,6.434726,6.375079,6.341874,6.201346,6.15618,6.238337
C9orf171,5.586643,5.28721,5.330356,5.328291,5.109153,5.0993,5.367873
BARHL1,6.847748,6.901432,6.722359,6.69725,6.742236,6.458099,6.62046
GTF3C4,7.738146,7.686995,7.967269,7.624376,7.591711,7.677293,7.644528
C9orf9,7.529061,7.622031,7.619414,7.604612,7.434808,7.842931,7.939903
GFI1B,6.940101,6.986786,6.798063,6.78888,6.899884,6.662448,6.805579
GTF3C5,7.505255,7.497827,7.925161,7.52636,7.36666,8.097109,8.173774
CEL,6.523701,7.021953,6.086279,6.366756,6.758914,6.26183,6.803622
CELP,6.774091,6.961064,6.637419,6.808085,6.984431,6.551856,6.645644
SNORD36C,6.276988,6.290341,7.640582,6.357351,6.36344,6.702582,6.922797
SNORD24,8.04499,8.401981,8.548545,7.419365,7.099662,7.825728,8.208998
SNORD36B,6.442023,6.925736,7.654594,6.903588,5.967974,7.10357,7.293045
SURF2,8.130988,8.21483,8.339106,7.967027,7.912014,8.435219,8.480052
STKLD1,6.880934,6.818409,6.474601,6.737997,6.796822,6.65663,6.396811
ADAMTS13,6.625712,6.71415,6.550893,6.609881,6.704395,6.496539,6.69829
CACFD1,8.417078,8.422879,8.193494,8.279635,8.100963,8.176006,8.235747
ADAMTSL2,7.926982,8.320823,7.754776,8.338599,8.12665,8.54344,8.35329
DBH,6.315945,6.453207,6.361655,6.276497,6.335104,6.164556,6.391636
LINC00094,6.185303,6.278948,6.265266,6.192615,5.992818,6.275437,6.17159
WDR5,7.974173,8.084545,8.346913,8.171226,8.142552,8.385058,8.050947
RXRA,8.613481,8.860052,8.252453,8.6505,8.642269,9.074136,8.838317
COL5A1,6.60304,7.288758,7.636461,7.209839,6.95093,7.368994,7.270262
FCN2,6.135708,6.262453,6.092898,6.139215,6.013451,5.863803,6.196045
OLFM1,6.047229,5.990542,6.186601,6.182179,6.098436,6.270119,6.828036
LOC401557,4.697169,4.914889,4.901211,5.012311,4.847516,4.943181,4.972842
C9orf62,6.370983,6.383582,6.141207,6.391745,6.27758,5.934713,6.133549
PPP1R26,7.17254,7.362656,7.352464,7.195669,7.331353,7.531525,7.516694
MRPS2,9.184963,9.175941,9.35563,9.133754,9.132549,9.771598,9.64043
OBP2A,6.566167,6.574682,6.656288,6.438393,6.679863,6.376763,6.947447
PAEP,6.395668,6.693955,6.510369,6.64327,6.704419,6.566379,6.674683
LCN9,4.757404,4.955021,4.841048,4.759636,4.903296,5.109869,5.138464
KCNT1,5.804525,5.893045,5.90906,5.805446,5.61403,5.556436,5.794151
GPSM1,7.397816,7.330471,7.314092,7.098598,7.051211,7.049721,7.145946
PMPCA,8.163529,8.03648,8.200215,8.348665,8.021834,8.503661,8.28053
C9orf163,5.951962,6.241406,5.997328,5.76784,6.235669,5.714074,6.036804
EGFL7,7.438633,7.668104,7.712724,7.466587,7.544885,7.852109,7.769712
MIR126,4.504568,4.746625,4.705667,4.603301,4.612261,4.772703,4.991832
FAM69B,7.892151,8.070639,7.736794,8.033455,8.138685,8.216961,8.458363
TMEM141,9.278135,9.426571,9.027291,9.447521,9.305267,9.689566,9.741385
CCDC183,6.226501,6.322628,6.151311,6.208924,6.300651,6.324595,6.322719
RABL6,8.192696,8.231257,8.186136,8.146689,7.999067,8.465275,8.246055
C9orf172,6.656368,6.468613,6.656116,6.574813,6.616579,6.325359,6.771619
PHPT1,7.967186,8.409709,8.2357,7.994763,7.829251,8.675228,8.768465
MAMDC4,6.669303,7.084893,6.789281,6.794732,6.738944,6.602351,6.990459
TRAF2,7.370379,7.090615,7.312052,7.116685,7.147535,7.33773,7.359612
C8G,6.91773,6.900908,6.808651,7.003981,6.7805,6.581077,6.717579
LCN12,7.445838,7.533759,7.323678,7.457838,7.535769,7.589897,7.670518
LOC101928638,7.824451,7.725448,7.608595,7.772178,7.955589,7.561744,7.916959
PTGDS,8.027605,8.165458,7.320073,7.710381,7.461569,7.95748,8.693987
LCNL1,6.833174,7.126823,6.69247,6.946691,6.830727,6.50512,6.83944
C9orf142,7.725454,7.876275,7.999691,7.903805,7.807782,8.351408,8.407352
C9orf139,6.449419,6.647373,6.487497,6.478078,6.386345,6.10485,6.40973
UAP1L1,7.537614,7.778628,7.538964,7.63006,7.382637,8.386282,7.833931
MAN1B1,7.76623,7.735183,7.852658,7.828599,7.55487,7.886118,7.915792
GRIN1,6.304937,6.724109,6.365152,6.366721,6.201185,6.12139,6.217439
SSNA1,8.846367,8.841745,8.731605,8.608077,8.513729,9.002129,8.872382
NDOR1,7.203006,7.399193,7.228742,7.186839,7.289976,6.999469,7.394168
SLC34A3,8.468109,8.653005,7.173948,8.137321,8.351319,8.592822,8.189479
TUBB4B,11.98614,12.24286,12.31183,12.29542,12.2794,12.55885,12.31852
C9orf173,6.606875,6.702864,6.658126,6.474864,6.778509,6.379642,6.695323
NELFB,8.938427,9.117022,9.349792,9.050263,8.800988,9.255986,9.124774
TOR4A,7.074059,7.259436,7.521155,7.173085,7.025511,6.988866,7.04731
NOXA1,8.340291,8.325753,8.43073,8.290779,7.970139,8.345136,8.587116
MRPL41,9.625083,9.826349,9.530795,9.712858,9.718534,9.56522,9.637858
ARRDC1,7.630025,7.806945,8.023502,7.665012,7.5439,8.141262,8.006694
EHMT1,7.491744,7.57821,7.627452,7.484407,7.554578,7.737768,7.470677
